PDB_ID,Download_status
1j4i,OK
5jpe,OK
4ds7,OK
1fuy,OK
1b34,OK
2erz,OK
1loj,OK
6a1c,OK
3a5l,OK
1t5s,OK
1grg,OK
4qmt,OK
1gc2,OK
1svv,OK
4z1o,OK
5f0e,OK
3w38,OK
3k0s,OK
4nj3,OK
4gtv,OK
3r2b,OK
4xsh,OK
5iey,OK
5v5z,OK
4y8p,OK
6not,counts
4yy3,OK
1pwl,OK
5z9r,OK
5mbz,OK
4eg5,OK
5otp,OK
6mrk,OK
4ya5,OK
2hvd,OK
4v5d,failed_download
2w5x,OK
4fv1,OK
6aqj,OK
6gv3,OK
3qt6,OK
3zcf,OK
5cz5,OK
1b4l,OK
4l06,OK
4v7z,failed_download
1j0x,OK
2ek9,OK
2iew,OK
5kk8,OK
6dew,OK
3w98,OK
6f3l,OK
3ra6,OK
1p5b,OK
3rda,OK
2pwz,OK
4n81,OK
3tjt,OK
1pxj,OK
2vu2,OK
1h5r,OK
2rla,OK
3eww,OK
5xv5,OK
3m5w,OK
6s9i,OK
4v4s,failed_download
1ccl,OK
1q9d,OK
3mzk,counts
5nvm,OK
1jsl,OK
6r4i,OK
3bbh,OK
4jfl,OK
3w5k,OK
3hab,OK
5hnb,OK
2dwp,OK
8prk,OK
2vxn,OK
1ac8,OK
3r9l,counts
3ksq,OK
2h8x,OK
3tqv,OK
1tya,counts
4eei,OK
6onn,OK
4mh0,OK
5kj6,OK
6jwh,OK
5f0j,OK
3jr3,OK
2pjc,OK
3qt1,OK
1yzn,OK
4gpe,OK
2w62,OK
5c18,OK
4ewr,OK
5e0u,OK
1y6w,distance
1v0b,OK
5mfp,OK
1a5u,OK
1ttp,OK
3ghs,OK
3sw7,OK
4o4v,counts
4j57,OK
4r1t,OK
1y4u,OK
1a16,OK
1adf,OK
4lgy,OK
4c0j,OK
5pzq,OK
2h6i,OK
3kv4,OK
4qfs,counts
6hw7,OK
3zf4,OK
1gzv,OK
1at1,OK
5xve,OK
2pnj,OK
2vny,OK
5vye,OK
4rji,OK
4tq0,OK
4ctn,OK
4nfg,OK
2xk8,counts
4wyr,OK
1k8q,OK
1pca,OK
4nfy,OK
5fu7,OK
4qp4,OK
5xdn,OK
3b7z,OK
3t5w,OK
2hq1,counts
5fci,failed_download
1m6h,OK
2d7c,OK
5mah,OK
3wao,OK
5le9,OK
4nx2,OK
6a9o,OK
1h07,OK
4pl7,OK
5go8,OK
5v4w,OK
2cv5,OK
3p78,OK
6izq,OK
1ynp,OK
1zcp,counts
3dfa,counts
5eln,OK
3m3z,OK
6bii,OK
5koq,OK
3sww,OK
4dhu,OK
2w8u,OK
2pj6,OK
3wen,OK
5ndg,failed_download
6q7t,OK
4plc,OK
4y7v,OK
4uho,OK
2bhs,OK
4wf9,counts
1o04,OK
6kil,OK
4anc,OK
1pkl,OK
5zzt,OK
2skd,OK
5adh,OK
4xyk,OK
5ifw,OK
4pc6,OK
5yoi,OK
6e9p,OK
5ywl,OK
4zyt,OK
6oah,counts
2j0i,OK
1aua,OK
5ohk,counts
6m93,counts
1kok,OK
5o28,OK
3fls,OK
4a9s,counts
4wpo,failed_download
2ak3,OK
3qqp,OK
1p7l,OK
1xad,OK
3mgu,OK
1zod,OK
2gk6,OK
